Geography Type,Geography,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Time Type,Estimate (%),95% CI (%),Sample Size,Suppression Flag
National Estimates,National,Vaccination Status,Total Vaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,40.8,40.0-41.7,57919,0
National Estimates,National,Vaccination Status,Total Vaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,80.9,80.2-81.5,55679,0
National Estimates,National,Vaccination Status,Total Vaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,79.6,78.9-80.3,57496,0
National Estimates,National,Vaccination Status,Total Vaccinated People,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,41.9,41.1-42.7,57675,0
National Estimates,National,Vaccination Status,Total Vaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,78.2,77.5-78.9,58087,0
National Estimates,National,Vaccination Status,Total Unvaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,29.7,28.6-30.9,18661,0
National Estimates,National,Vaccination Status,Total Unvaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,24.2,23.0-25.4,15164,0
National Estimates,National,Vaccination Status,Total Unvaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,30.3,29.2-31.5,18154,0
National Estimates,National,Vaccination Status,Total Unvaccinated People,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,23.6,22.5-24.7,18715,0
National Estimates,National,Vaccination Status,Total Unvaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,84.4,83.4-85.3,18107,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,51.7,48.6-54.7,3383,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,64.2,61.0-67.2,3058,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,58.2,55.2-61.1,3316,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,35.4,32.5-38.3,3384,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,81.1,78.6-83.3,3348,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,37,35.0-39.1,6969,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,25.7,23.6-27.9,5206,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,33.1,31.2-35.1,6757,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,24.3,22.5-26.2,7008,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,82,80.3-83.6,6821,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,14.7,13.5-16.1,8247,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,6.1,5.1-7.1,6858,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,16.9,15.5-18.3,8012,0
