Geography Type,Geography,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Time Type,Estimate (%),95% CI (%),Sample Size,Suppression Flag
National Estimates,National,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,60.3,59.6-61.0,76931,0
National Estimates,National,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,7.1,6.7-7.5,76931,0
National Estimates,National,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,14.9,14.3-15.5,76931,0
National Estimates,National,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,17.7,17.1-18.3,76931,0
Jurisdictional Estimates,Alaska,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,56.5,52.7-60.3,1056,0
Jurisdictional Estimates,Alaska,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,5.2,3.5-7.5,1056,0
Jurisdictional Estimates,Alaska,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,13.2,10.5-16.4,1056,0
Jurisdictional Estimates,Alaska,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,25.1,21.7-28.8,1056,0
Jurisdictional Estimates,Alabama,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,46.1,42.4-50.0,1090,0
Jurisdictional Estimates,Alabama,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,5.5,4.0-7.6,1090,0
Jurisdictional Estimates,Alabama,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,20.3,17.1-24.0,1090,0
Jurisdictional Estimates,Alabama,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,28,24.4-31.9,1090,0
Jurisdictional Estimates,Arkansas,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,48,44.6-51.3,1427,0
Jurisdictional Estimates,Arkansas,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,7.2,5.5-9.4,1427,0
Jurisdictional Estimates,Arkansas,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,17.6,14.9-20.6,1427,0
Jurisdictional Estimates,Arkansas,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,27.3,24.2-30.6,1427,0
Jurisdictional Estimates,Arizona,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,57.4,53.9-60.8,1337,0
Jurisdictional Estimates,Arizona,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,7.1,5.3-9.3,1337,0
Jurisdictional Estimates,Arizona,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,15.7,13.2-18.7,1337,0
Jurisdictional Estimates,Arizona,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,19.8,17.0-23.0,1337,0
Jurisdictional Estimates,California,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,68.9,65.8-71.9,2324,0
Jurisdictional Estimates,California,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,6.8,5.2-8.7,2324,0
Jurisdictional Estimates,California,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,12.3,10.2-14.8,2324,0
Jurisdictional Estimates,California,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,12,10.0-14.5,2324,0
Jurisdictional Estimates,Colorado,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,64,58.3-69.2,709,0
Jurisdictional Estimates,Colorado,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,5.6,3.4-8.9,709,0
Jurisdictional Estimates,Colorado,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,12.4,9.0-16.8,709,0
