PUMA Code,PUMA Name,State,Estimated hesitant,Estimated unsure or hesitant,Estimated strongly hesitant,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White
100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",Alabama,17.38,22.9,13.25,0.0516,0.0045,0.0053,0.1051,0.0006,0.8189
100200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),Alabama,16,20.43,12.07,0.0442,0.0084,0.0165,0.1691,0.0007,0.7361
100301,Huntsville (North) & Madison (East) Cities,Alabama,12.62,17.04,9.35,0.0548,0.0039,0.0355,0.3532,0.0006,0.5169
100302,Huntsville City (Central & South),Alabama,15.25,20.49,11.56,0.07,0.0033,0.022,0.1999,0.0006,0.6774
100400,DeKalb & Jackson Counties,Alabama,18.98,24.59,14.6,0.0966,0.0109,0.0026,0.0227,0.0017,0.8415
100500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),Alabama,16.18,21.03,12.25,0.1113,0.0044,0.0105,0.0293,0.0008,0.8267
100600,Morgan & Lawrence Counties--Decatur City,Alabama,17.13,22.21,13.03,0.0702,0.0159,0.0054,0.1223,0.0006,0.7582
100700,Cullman & Winston Counties,Alabama,18.05,23.13,13.79,0.0409,0.003,0.0033,0.0113,0.0001,0.9229
100800,St. Clair & Blount Counties,Alabama,18.54,23.62,14.16,0.0512,0.0024,0.0063,0.0637,0.0002,0.8631
100900,Etowah County,Alabama,17.97,23.74,13.64,0.0388,0.0037,0.0074,0.1544,0.0002,0.7786
101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",Alabama,17.83,23.5,13.68,0.0236,0.0043,0.004,0.2172,0.0001,0.736
101100,Calhoun County,Alabama,17.95,23.54,13.72,0.038,0.0019,0.0088,0.2066,0.0001,0.7207
101200,Shelby County,Alabama,14.22,18.09,10.56,0.0572,0.0026,0.0206,0.1202,0.0002,0.7787
101301,Birmingham City (West),Alabama,16.38,23.97,12.33,0.0367,0.0022,0.0018,0.8945,0,0.0536
