state,county,statefips,countyfips,maskdays,days,maskcoverage
AL,Autauga County,1,1,267,493,0.54
AL,Baldwin County,1,3,267,493,0.54
AL,Barbour County,1,5,267,493,0.54
AL,Bibb County,1,7,267,493,0.54
AL,Blount County,1,9,267,493,0.54
AL,Bullock County,1,11,267,493,0.54
AL,Butler County,1,13,267,493,0.54
AL,Calhoun County,1,15,267,493,0.54
AL,Chambers County,1,17,267,493,0.54
AL,Cherokee County,1,19,267,493,0.54
AL,Chilton County,1,21,267,493,0.54
AL,Choctaw County,1,23,267,493,0.54
AL,Clarke County,1,25,267,493,0.54
AL,Clay County,1,27,267,493,0.54
AL,Cleburne County,1,29,267,493,0.54
AL,Coffee County,1,31,267,493,0.54
AL,Colbert County,1,33,267,493,0.54
AL,Conecuh County,1,35,267,493,0.54
AL,Coosa County,1,37,267,493,0.54
AL,Covington County,1,39,267,493,0.54
AL,Crenshaw County,1,41,267,493,0.54
AL,Cullman County,1,43,267,493,0.54
AL,Dale County,1,45,267,493,0.54
AL,Dallas County,1,47,267,493,0.54
AL,DeKalb County,1,49,267,493,0.54
AL,Elmore County,1,51,267,493,0.54
AL,Escambia County,1,53,267,493,0.54
AL,Etowah County,1,55,267,493,0.54
AL,Fayette County,1,57,267,493,0.54
AL,Franklin County,1,59,267,493,0.54
AL,Geneva County,1,61,267,493,0.54
AL,Greene County,1,63,267,493,0.54
AL,Hale County,1,65,267,493,0.54
AL,Henry County,1,67,267,493,0.54
AL,Houston County,1,69,267,493,0.54
AL,Jackson County,1,71,267,493,0.54
AL,Jefferson County,1,73,267,493,0.54
AL,Lamar County,1,75,267,493,0.54
AL,Lauderdale County,1,77,267,493,0.54
AL,Lawrence County,1,79,267,493,0.54
AL,Lee County,1,81,267,493,0.54
AL,Limestone County,1,83,267,493,0.54
AL,Lowndes County,1,85,267,493,0.54
AL,Macon County,1,87,267,493,0.54
AL,Madison County,1,89,267,493,0.54
AL,Marengo County,1,91,267,493,0.54
AL,Marion County,1,93,267,493,0.54
AL,Marshall County,1,95,267,493,0.54
AL,Mobile County,1,97,267,493,0.54
AL,Monroe County,1,99,267,493,0.54
AL,Montgomery County,1,101,267,493,0.54
AL,Morgan County,1,103,267,493,0.54
AL,Perry County,1,105,267,493,0.54
AL,Pickens County,1,107,267,493,0.54
AL,Pike County,1,109,267,493,0.54
AL,Randolph County,1,111,267,493,0.54
AL,Russell County,1,113,267,493,0.54
AL,St. Clair County,1,115,267,493,0.54
AL,Shelby County,1,117,267,493,0.54
AL,Sumter County,1,119,267,493,0.54
AL,Talladega County,1,121,267,493,0.54
AL,Tallapoosa County,1,123,267,493,0.54
AL,Tuscaloosa County,1,125,267,493,0.54
AL,Walker County,1,127,267,493,0.54
AL,Washington County,1,129,267,493,0.54
AL,Wilcox County,1,131,267,493,0.54
AL,Winston County,1,133,267,493,0.54
AK,Aleutians East Borough,2,13,0,493,0.0
AK,Aleutians West Census Area,2,16,0,493,0.0
AK,Anchorage Municipality,2,20,0,493,0.0
AK,Bethel Census Area,2,50,0,493,0.0
AK,Bristol Bay Borough,2,60,0,493,0.0
AK,Denali Borough,2,68,0,493,0.0
AK,Dillingham Census Area,2,70,0,493,0.0
