state,county,statefips,countyfips,month,maskdays,days,maskcoverage
AL,Autauga County,1,1,202004,0,21,0.0
AL,Autauga County,1,1,202005,0,31,0.0
AL,Autauga County,1,1,202006,0,30,0.0
AL,Autauga County,1,1,202007,16,31,0.52
AL,Autauga County,1,1,202008,31,31,1.0
AL,Autauga County,1,1,202009,30,30,1.0
AL,Baldwin County,1,3,202005,0,31,0.0
AL,Autauga County,1,1,202010,31,31,1.0
AL,Autauga County,1,1,202011,30,30,1.0
AL,Autauga County,1,1,202012,31,31,1.0
AL,Baldwin County,1,3,202004,0,21,0.0
AL,Baldwin County,1,3,202006,0,30,0.0
AL,Baldwin County,1,3,202007,16,31,0.52
AL,Baldwin County,1,3,202008,31,31,1.0
AL,Barbour County,1,5,202004,0,21,0.0
AL,Baldwin County,1,3,202009,30,30,1.0
AL,Baldwin County,1,3,202010,31,31,1.0
AL,Baldwin County,1,3,202011,30,30,1.0
AL,Baldwin County,1,3,202012,31,31,1.0
AL,Barbour County,1,5,202005,0,31,0.0
AL,Barbour County,1,5,202006,0,30,0.0
AL,Barbour County,1,5,202007,16,31,0.52
AL,Barbour County,1,5,202008,31,31,1.0
AL,Bibb County,1,7,202006,0,30,0.0
AL,Barbour County,1,5,202009,30,30,1.0
AL,Barbour County,1,5,202010,31,31,1.0
AL,Barbour County,1,5,202011,30,30,1.0
AL,Barbour County,1,5,202012,31,31,1.0
AL,Bibb County,1,7,202004,0,21,0.0
AL,Bibb County,1,7,202005,0,31,0.0
AL,Bibb County,1,7,202007,16,31,0.52
AL,Bibb County,1,7,202008,31,31,1.0
AL,Bibb County,1,7,202009,30,30,1.0
AL,Blount County,1,9,202005,0,31,0.0
AL,Bibb County,1,7,202010,31,31,1.0
AL,Bibb County,1,7,202011,30,30,1.0
AL,Bibb County,1,7,202012,31,31,1.0
AL,Blount County,1,9,202004,0,21,0.0
AL,Blount County,1,9,202006,0,30,0.0
AL,Blount County,1,9,202007,16,31,0.52
AL,Blount County,1,9,202008,31,31,1.0
AL,Bullock County,1,11,202004,0,21,0.0
AL,Blount County,1,9,202009,30,30,1.0
AL,Blount County,1,9,202010,31,31,1.0
AL,Blount County,1,9,202011,30,30,1.0
AL,Blount County,1,9,202012,31,31,1.0
AL,Bullock County,1,11,202005,0,31,0.0
AL,Bullock County,1,11,202006,0,30,0.0
AL,Bullock County,1,11,202007,16,31,0.52
AL,Bullock County,1,11,202008,31,31,1.0
AL,Butler County,1,13,202006,0,30,0.0
AL,Bullock County,1,11,202009,30,30,1.0
AL,Bullock County,1,11,202010,31,31,1.0
AL,Bullock County,1,11,202011,30,30,1.0
AL,Bullock County,1,11,202012,31,31,1.0
AL,Butler County,1,13,202004,0,21,0.0
AL,Butler County,1,13,202005,0,31,0.0
AL,Butler County,1,13,202007,16,31,0.52
AL,Butler County,1,13,202008,31,31,1.0
AL,Butler County,1,13,202009,30,30,1.0
AL,Calhoun County,1,15,202005,0,31,0.0
AL,Butler County,1,13,202010,31,31,1.0
AL,Butler County,1,13,202011,30,30,1.0
AL,Butler County,1,13,202012,31,31,1.0
AL,Calhoun County,1,15,202004,0,21,0.0
AL,Calhoun County,1,15,202006,0,30,0.0
AL,Calhoun County,1,15,202007,16,31,0.52
AL,Chambers County,1,17,202004,0,21,0.0
AL,Calhoun County,1,15,202008,31,31,1.0
AL,Calhoun County,1,15,202009,30,30,1.0
AL,Calhoun County,1,15,202010,31,31,1.0
AL,Calhoun County,1,15,202011,30,30,1.0
AL,Calhoun County,1,15,202012,31,31,1.0
AL,Chambers County,1,17,202005,0,31,0.0
AL,Chambers County,1,17,202006,0,30,0.0
AL,Chambers County,1,17,202007,16,31,0.52
AL,Chambers County,1,17,202008,31,31,1.0
AL,Chambers County,1,17,202009,30,30,1.0
AL,Cherokee County,1,19,202006,0,30,0.0
AL,Chambers County,1,17,202010,31,31,1.0
AL,Chambers County,1,17,202011,30,30,1.0
AL,Chambers County,1,17,202012,31,31,1.0
AL,Cherokee County,1,19,202004,0,21,0.0
AL,Cherokee County,1,19,202005,0,31,0.0
AL,Cherokee County,1,19,202007,16,31,0.52
AL,Chilton County,1,21,202005,0,31,0.0
AL,Cherokee County,1,19,202008,31,31,1.0
AL,Cherokee County,1,19,202009,30,30,1.0
AL,Cherokee County,1,19,202010,31,31,1.0
AL,Cherokee County,1,19,202011,30,30,1.0
AL,Cherokee County,1,19,202012,31,31,1.0
AL,Chilton County,1,21,202004,0,21,0.0
AL,Chilton County,1,21,202006,0,30,0.0
AL,Chilton County,1,21,202007,16,31,0.52
AL,Chilton County,1,21,202008,31,31,1.0
AL,Chilton County,1,21,202009,30,30,1.0
AL,Choctaw County,1,23,202004,0,21,0.0
AL,Chilton County,1,21,202010,31,31,1.0
AL,Chilton County,1,21,202011,30,30,1.0
AL,Chilton County,1,21,202012,31,31,1.0
AL,Choctaw County,1,23,202005,0,31,0.0
AL,Choctaw County,1,23,202006,0,30,0.0
AL,Choctaw County,1,23,202007,16,31,0.52
AL,Choctaw County,1,23,202008,31,31,1.0
AL,Clarke County,1,25,202005,0,31,0.0
AL,Choctaw County,1,23,202009,30,30,1.0
AL,Choctaw County,1,23,202010,31,31,1.0
AL,Choctaw County,1,23,202011,30,30,1.0
AL,Choctaw County,1,23,202012,31,31,1.0
AL,Clarke County,1,25,202004,0,21,0.0
AL,Clarke County,1,25,202006,0,30,0.0
AL,Clarke County,1,25,202007,16,31,0.52
AL,Clarke County,1,25,202008,31,31,1.0
AL,Clay County,1,27,202005,0,31,0.0
AL,Clarke County,1,25,202009,30,30,1.0
AL,Clarke County,1,25,202010,31,31,1.0
AL,Clarke County,1,25,202011,30,30,1.0
AL,Clarke County,1,25,202012,31,31,1.0
AL,Clay County,1,27,202004,0,21,0.0
AL,Clay County,1,27,202006,0,30,0.0
AL,Clay County,1,27,202007,16,31,0.52
AL,Clay County,1,27,202008,31,31,1.0
AL,Clay County,1,27,202009,30,30,1.0
AL,Cleburne County,1,29,202004,0,21,0.0
AL,Clay County,1,27,202010,31,31,1.0
AL,Clay County,1,27,202011,30,30,1.0
AL,Clay County,1,27,202012,31,31,1.0
AL,Cleburne County,1,29,202005,0,31,0.0
AL,Cleburne County,1,29,202006,0,30,0.0
AL,Cleburne County,1,29,202007,16,31,0.52
AL,Cleburne County,1,29,202008,31,31,1.0
AL,Coffee County,1,31,202005,0,31,0.0
AL,Cleburne County,1,29,202009,30,30,1.0
AL,Cleburne County,1,29,202010,31,31,1.0
AL,Cleburne County,1,29,202011,30,30,1.0
AL,Cleburne County,1,29,202012,31,31,1.0
AL,Coffee County,1,31,202004,0,21,0.0
AL,Coffee County,1,31,202006,0,30,0.0
AL,Coffee County,1,31,202007,16,31,0.52
AL,Colbert County,1,33,202004,0,21,0.0
AL,Coffee County,1,31,202008,31,31,1.0
AL,Coffee County,1,31,202009,30,30,1.0
AL,Coffee County,1,31,202010,31,31,1.0
AL,Coffee County,1,31,202011,30,30,1.0
AL,Coffee County,1,31,202012,31,31,1.0
AL,Colbert County,1,33,202005,0,31,0.0
AL,Colbert County,1,33,202006,0,30,0.0
AL,Colbert County,1,33,202007,16,31,0.52
AL,Colbert County,1,33,202008,31,31,1.0
AL,Colbert County,1,33,202009,30,30,1.0
AL,Conecuh County,1,35,202006,0,30,0.0
AL,Colbert County,1,33,202010,31,31,1.0
AL,Colbert County,1,33,202011,30,30,1.0
AL,Colbert County,1,33,202012,31,31,1.0
AL,Conecuh County,1,35,202004,0,21,0.0
AL,Conecuh County,1,35,202005,0,31,0.0
AL,Conecuh County,1,35,202007,16,31,0.52
AL,Conecuh County,1,35,202008,31,31,1.0
AL,Coosa County,1,37,202005,0,31,0.0
AL,Conecuh County,1,35,202009,30,30,1.0
AL,Conecuh County,1,35,202010,31,31,1.0
AL,Conecuh County,1,35,202011,30,30,1.0
