state,county,lat,lon,statefips,countyfips,maskdays,days,maskcoverage
AL, Autauga County, 32.554052, -86.612433, 1, 1, 267, 493, 0.54
AL, Baldwin County, 30.555224, -87.722616, 1, 3, 267, 493, 0.54
AL, Barbour County, 31.886628, -85.316973, 1, 5, 267, 493, 0.54
AL, Bibb County, 32.999816, -87.099134, 1, 7, 267, 493, 0.54
AL, Blount County, 33.957341, -86.562434, 1, 9, 267, 493, 0.54
AL, Bullock County, 32.090565, -85.715577, 1, 11, 267, 493, 0.54
AL, Butler County, 31.743369, -86.692835, 1, 13, 267, 493, 0.54
AL, Calhoun County, 33.767543, -85.820137, 1, 15, 267, 493, 0.54
AL, Chambers County, 32.919517, -85.388963, 1, 17, 267, 493, 0.54
AL, Cherokee County, 34.157619, -85.61899, 1, 19, 267, 493, 0.54
AL, Chilton County, 32.887673, -86.692647, 1, 21, 267, 493, 0.54
AL, Choctaw County, 32.018698, -88.28529, 1, 23, 267, 493, 0.54
AL, Clarke County, 31.720396, -87.830816, 1, 25, 267, 493, 0.54
AL, Clay County, 33.271708, -85.828851, 1, 27, 267, 493, 0.54
AL, Cleburne County, 33.659283, -85.490085, 1, 29, 267, 493, 0.54
AL, Coffee County, 31.399392, -85.990917, 1, 31, 267, 493, 0.54
AL, Colbert County, 34.669418, -87.920766, 1, 33, 267, 493, 0.54
AL, Conecuh County, 31.437156, -86.999505, 1, 35, 267, 493, 0.54
AL, Coosa County, 32.928824, -86.247684, 1, 37, 267, 493, 0.54
AL, Covington County, 31.228759, -86.454649, 1, 39, 267, 493, 0.54
AL, Crenshaw County, 31.712086, -86.310104, 1, 41, 267, 493, 0.54
AL, Cullman County, 34.132644, -86.895744, 1, 43, 267, 493, 0.54
AL, Dale County, 31.445497, -85.611031, 1, 45, 267, 493, 0.54
AL, Dallas County, 32.283851, -87.111517, 1, 47, 267, 493, 0.54
AL, DeKalb County, 34.437187, -85.799555, 1, 49, 267, 493, 0.54
AL, Elmore County, 32.586676, -86.098437, 1, 51, 267, 493, 0.54
AL, Escambia County, 31.129917, -87.161553, 1, 53, 267, 493, 0.54
AL, Etowah County, 34.044003, -86.040799, 1, 55, 267, 493, 0.54
AL, Fayette County, 33.733273, -87.760254, 1, 57, 267, 493, 0.54
AL, Franklin County, 34.442334, -87.843801, 1, 59, 267, 493, 0.54
AL, Geneva County, 31.095212, -85.838996, 1, 61, 267, 493, 0.54
AL, Greene County, 32.904863, -87.969398, 1, 63, 267, 493, 0.54
AL, Hale County, 32.781565, -87.633364, 1, 65, 267, 493, 0.54
AL, Henry County, 31.517196, -85.237799, 1, 67, 267, 493, 0.54
AL, Houston County, 31.155795, -85.302498, 1, 69, 267, 493, 0.54
AL, Jackson County, 34.75915, -85.991869, 1, 71, 267, 493, 0.54
AL, Jefferson County, 33.587534, -86.862445, 1, 73, 267, 493, 0.54
AL, Lamar County, 33.779284, -88.09689, 1, 75, 267, 493, 0.54
AL, Lauderdale County, 34.889095, -87.69419, 1, 77, 267, 493, 0.54
AL, Lawrence County, 34.504792, -87.30818, 1, 79, 267, 493, 0.54
AL, Lee County, 32.599704, -85.327404, 1, 81, 267, 493, 0.54
AL, Limestone County, 34.819258, -86.976644, 1, 83, 267, 493, 0.54
AL, Lowndes County, 32.153539, -86.645221, 1, 85, 267, 493, 0.54
AL, Macon County, 32.391047, -85.668882, 1, 87, 267, 493, 0.54
AL, Madison County, 34.777519, -86.555348, 1, 89, 267, 493, 0.54
AL, Marengo County, 32.257335, -87.751133, 1, 91, 267, 493, 0.54
AL, Marion County, 34.148013, -87.853024, 1, 93, 267, 493, 0.54
AL, Marshall County, 34.343228, -86.288836, 1, 95, 267, 493, 0.54
AL, Mobile County, 30.669382, -88.202374, 1, 97, 267, 493, 0.54
AL, Monroe County, 31.595853, -87.358718, 1, 99, 267, 493, 0.54
AL, Montgomery County, 32.226849, -86.202088, 1, 101, 267, 493, 0.54
AL, Morgan County, 34.434541, -86.847604, 1, 103, 267, 493, 0.54
AL, Perry County, 32.657635, -87.294407, 1, 105, 267, 493, 0.54
AL, Pickens County, 33.283223, -88.083913, 1, 107, 267, 493, 0.54
AL, Pike County, 31.792119, -85.946068, 1, 109, 267, 493, 0.54
AL, Randolph County, 33.293238, -85.456254, 1, 111, 267, 493, 0.54
AL, Russell County, 32.29743, -85.179751, 1, 113, 267, 493, 0.54
AL, St. Clair County, 33.676415, -86.363166, 1, 115, 267, 493, 0.54
AL, Shelby County, 33.252563, -86.655453, 1, 117, 267, 493, 0.54
AL, Sumter County, 32.506186, -88.218626, 1, 119, 267, 493, 0.54
AL, Talladega County, 33.438202, -86.101507, 1, 121, 267, 493, 0.54
AL, Tallapoosa County, 32.914693, -85.793483, 1, 123, 267, 493, 0.54
AL, Tuscaloosa County, 33.282678, -87.532389, 1, 125, 267, 493, 0.54
AL, Walker County, 33.801205, -87.269743, 1, 127, 267, 493, 0.54
AL, Washington County, 31.388341, -88.202404, 1, 129, 267, 493, 0.54
AL, Wilcox County, 32.01185, -87.397018, 1, 131, 267, 493, 0.54
AL, Winston County, 34.148336, -87.373721, 1, 133, 267, 493, 0.54
AK, Aleutians East Borough, 55.430915, -161.705244, 2, 13, 0, 493, 0.0
AK, Aleutians West Census Area, 51.824103, -176.647681, 2, 16, 0, 493, 0.0
AK, Anchorage Municipality, 61.195429, -149.358257, 2, 20, 0, 493, 0.0
AK, Bethel Census Area, 60.496456, -161.141382, 2, 50, 0, 493, 0.0
AK, Bristol Bay Borough, 58.749265, -156.987181, 2, 60, 0, 493, 0.0
AK, Denali Borough, 63.765123, -150.252605, 2, 68, 0, 493, 0.0
AK, Dillingham Census Area, 59.708077, -158.344201, 2, 70, 0, 493, 0.0
AK, Fairbanks North Star Borough, 64.808376, -146.562952, 2, 90, 0, 493, 0.0
AK, Haines Borough, 59.159214, -135.489374, 2, 100, 0, 493, 0.0
AK, Hoonah-Angoon Census Area, 58.627991, -136.272267, 2, 105, 0, 493, 0.0
AK, Juneau City and Borough, 58.503051, -134.249541, 2, 110, 0, 493, 0.0
AK, Kenai Peninsula Borough, 60.248557, -151.954729, 2, 122, 0, 493, 0.0
AK, Ketchikan Gateway Borough, 55.537702, -130.827115, 2, 130, 0, 493, 0.0
AK, Kodiak Island Borough, 57.490836, -153.355367, 2, 150, 0, 493, 0.0
AK, Kusilvak Census Area, 62.32796, -163.886283, 2, 158, 0, 493, 0.0
AK, Lake and Peninsula Borough, 57.158364, -157.659713, 2, 164, 0, 493, 0.0
AK, Matanuska-Susitna Borough, 62.37587, -149.579034, 2, 170, 0, 493, 0.0
AK, Nome Census Area, 65.46799, -165.313501, 2, 180, 0, 493, 0.0
AK, North Slope Borough, 69.469802, -153.506167, 2, 185, 0, 493, 0.0
AK, Northwest Arctic Borough, 66.830536, -160.687856, 2, 188, 0, 493, 0.0
AK, Petersburg Borough, 57.088748, -132.847676, 2, 195, 0, 493, 0.0
AK, Prince of Wales-Hyder Census Area, 55.39839, -133.006977, 2, 198, 0, 493, 0.0
AK, Sitka City and Borough, 57.222921, -135.293483, 2, 220, 0, 493, 0.0
AK, Skagway Municipality, 59.557353, -135.343312, 2, 230, 0, 493, 0.0
AK, Southeast Fairbanks Census Area, 64.044043, -142.411624, 2, 240, 0, 493, 0.0
AK, Valdez-Cordova Census Area, 61.628284, -144.754499, 2, 261, 0, 493, 0.0
AK, Wrangell City and Borough, 56.264538, -132.233617, 2, 275, 0, 493, 0.0
AK, Yakutat City and Borough, 59.860789, -139.582528, 2, 282, 0, 493, 0.0
AK, Yukon-Koyukuk Census Area, 65.941684, -152.073318, 2, 290, 0, 493, 0.0
AZ, Apache County, 35.390109, -109.450604, 4, 1, 0, 493, 0.0
AZ, Cochise County, 31.880494, -109.751211, 4, 3, 0, 493, 0.0
AZ, Coconino County, 35.976993, -111.745766, 4, 5, 0, 493, 0.0
AZ, Gila County, 33.634849, -110.72752, 4, 7, 0, 493, 0.0
AZ, Graham County, 32.924444, -109.954334, 4, 9, 0, 493, 0.0
AZ, Greenlee County, 33.209978, -109.266822, 4, 11, 0, 493, 0.0
AZ, La Paz County, 33.859531, -113.994622, 4, 12, 0, 493, 0.0
AZ, Maricopa County, 33.383062, -112.742029, 4, 13, 0, 493, 0.0
AZ, Mohave County, 35.426906, -113.959766, 4, 15, 0, 493, 0.0
AZ, Navajo County, 35.367143, -110.312547, 4, 17, 0, 493, 0.0
AZ, Pima County, 32.015184, -111.673069, 4, 19, 0, 493, 0.0
AZ, Pinal County, 32.883249, -111.3447, 4, 21, 0, 493, 0.0
AZ, Santa Cruz County, 31.530079, -110.855313, 4, 23, 0, 493, 0.0
AZ, Yavapai County, 34.527859, -112.629472, 4, 25, 0, 493, 0.0
AZ, Yuma County, 32.74584, -113.845681, 4, 27, 0, 493, 0.0
AR, Arkansas County, 34.301756, -91.348247, 5, 1, 254, 493, 0.52
AR, Ashley County, 33.200423, -91.76845, 5, 3, 254, 493, 0.52
AR, Baxter County, 36.312067, -92.318979, 5, 5, 254, 493, 0.52
AR, Benton County, 36.35609, -94.256145, 5, 7, 254, 493, 0.52
AR, Boone County, 36.308674, -93.0915, 5, 9, 254, 493, 0.52
AR, Bradley County, 33.465685, -92.166373, 5, 11, 254, 493, 0.52
AR, Calhoun County, 33.563343, -92.503079, 5, 13, 254, 493, 0.52
AR, Carroll County, 36.32883, -93.473193, 5, 15, 254, 493, 0.52
AR, Chicot County, 33.26183, -91.297943, 5, 17, 254, 493, 0.52
AR, Clark County, 34.043333, -93.182389, 5, 19, 254, 493, 0.52
AR, Clay County, 36.378952, -90.417358, 5, 21, 254, 493, 0.52
AR, Cleburne County, 35.534076, -92.026729, 5, 23, 254, 493, 0.52
AR, Cleveland County, 33.884231, -92.163999, 5, 25, 254, 493, 0.52
AR, Columbia County, 33.219412, -93.230721, 5, 27, 254, 493, 0.52
AR, Conway County, 35.266454, -92.695994, 5, 29, 254, 493, 0.52
AR, Craighead County, 35.835299, -90.63286, 5, 31, 254, 493, 0.52
AR, Crawford County, 35.588763, -94.243083, 5, 33, 254, 493, 0.52
AR, Crittenden County, 35.250896, -90.308871, 5, 35, 254, 493, 0.52
AR, Cross County, 35.296827, -90.771203, 5, 37, 254, 493, 0.52
AR, Dallas County, 33.976594, -92.654497, 5, 39, 254, 493, 0.52
AR, Desha County, 33.817826, -91.305979, 5, 41, 254, 493, 0.52
AR, Drew County, 33.592724, -91.720038, 5, 43, 254, 493, 0.52
AR, Faulkner County, 35.147406, -92.332068, 5, 45, 254, 493, 0.52
AR, Franklin County, 35.555978, -93.874929, 5, 47, 254, 493, 0.52
AR, Fulton County, 36.377032, -91.818244, 5, 49, 254, 493, 0.52
AR, Garland County, 34.582266, -93.156339, 5, 51, 254, 493, 0.52
AR, Grant County, 34.286745, -92.42359, 5, 53, 254, 493, 0.52
AR, Greene County, 36.114349, -90.559062, 5, 55, 254, 493, 0.52
AR, Hempstead County, 33.731179, -93.663608, 5, 57, 254, 493, 0.52
AR, Hot Spring County, 34.2876, -92.864999, 5, 59, 254, 493, 0.52
AR, Howard County, 34.070431, -93.953929, 5, 61, 254, 493, 0.52
AR, Independence County, 35.734357, -91.576125, 5, 63, 254, 493, 0.52
AR, Izard County, 36.083527, -91.881276, 5, 65, 254, 493, 0.52
AR, Jackson County, 35.585781, -91.187404, 5, 67, 254, 493, 0.52
AR, Jefferson County, 34.290844, -91.931564, 5, 69, 254, 493, 0.52
AR, Johnson County, 35.578841, -93.459908, 5, 71, 254, 493, 0.52
AR, Lafayette County, 33.234708, -93.586971, 5, 73, 254, 493, 0.52
AR, Lawrence County, 36.033043, -91.192367, 5, 75, 254, 493, 0.52
AR, Lee County, 34.774094, -90.782074, 5, 77, 254, 493, 0.52
AR, Lincoln County, 33.928573, -91.733331, 5, 79, 254, 493, 0.52
AR, Little River County, 33.702074, -94.311659, 5, 81, 254, 493, 0.52
AR, Logan County, 35.260275, -93.68031, 5, 83, 254, 493, 0.52
AR, Lonoke County, 34.758296, -91.888659, 5, 85, 254, 493, 0.52
AR, Madison County, 35.992739, -93.72942, 5, 87, 254, 493, 0.52
AR, Marion County, 36.227492, -92.713023, 5, 89, 254, 493, 0.52
AR, Miller County, 33.316728, -93.887985, 5, 91, 254, 493, 0.52
AR, Mississippi County, 35.809432, -90.11247, 5, 93, 254, 493, 0.52
AR, Monroe County, 34.681029, -91.225851, 5, 95, 254, 493, 0.52
AR, Montgomery County, 34.544881, -93.65947, 5, 97, 254, 493, 0.52
AR, Nevada County, 33.645341, -93.291809, 5, 99, 254, 493, 0.52
AR, Newton County, 35.924716, -93.217845, 5, 101, 254, 493, 0.52
AR, Ouachita County, 33.612707, -92.931959, 5, 103, 254, 493, 0.52
AR, Perry County, 34.966721, -92.931267, 5, 105, 254, 493, 0.52
AR, Phillips County, 34.491703, -90.847984, 5, 107, 254, 493, 0.52
AR, Pike County, 34.16364, -93.656344, 5, 109, 254, 493, 0.52
AR, Poinsett County, 35.577096, -90.662937, 5, 111, 254, 493, 0.52
AR, Polk County, 34.52552, -94.228045, 5, 113, 254, 493, 0.52
AR, Pope County, 35.437784, -93.038814, 5, 115, 254, 493, 0.52
AR, Prairie County, 34.828716, -91.534232, 5, 117, 254, 493, 0.52
AR, Pulaski County, 34.754519, -92.251272, 5, 119, 254, 493, 0.52
AR, Randolph County, 36.324564, -91.027843, 5, 121, 254, 493, 0.52
AR, St. Francis County, 35.02643, -90.747765, 5, 123, 254, 493, 0.52
AR, Saline County, 34.633305, -92.676586, 5, 125, 254, 493, 0.52
AR, Scott County, 34.859927, -94.063202, 5, 127, 254, 493, 0.52
AR, Searcy County, 35.894795, -92.75865, 5, 129, 254, 493, 0.52
AR, Sebastian County, 35.202475, -94.290878, 5, 131, 254, 493, 0.52
AR, Sevier County, 33.997464, -94.236251, 5, 133, 254, 493, 0.52
AR, Sharp County, 36.116022, -91.498703, 5, 135, 254, 493, 0.52
AR, Stone County, 35.852466, -92.220422, 5, 137, 254, 493, 0.52
AR, Union County, 33.189715, -92.634459, 5, 139, 254, 493, 0.52
AR, Van Buren County, 35.605524, -92.521491, 5, 141, 254, 493, 0.52
AR, Washington County, 35.981825, -94.182473, 5, 143, 254, 493, 0.52
AR, White County, 35.253306, -91.699606, 5, 145, 254, 493, 0.52
AR, Woodruff County, 35.180188, -91.216936, 5, 147, 254, 493, 0.52
AR, Yell County, 35.015984, -93.411252, 5, 149, 254, 493, 0.52
CA, Alameda County, 37.591744, -121.962408, 6, 1, 424, 493, 0.86
CA, Alpine County, 38.616988, -119.825718, 6, 3, 424, 493, 0.86
CA, Amador County, 38.423206, -120.80318, 6, 5, 424, 493, 0.86
CA, Butte County, 39.653839, -121.593224, 6, 7, 424, 493, 0.86
CA, Calaveras County, 38.142754, -120.63546, 6, 9, 424, 493, 0.86
CA, Colusa County, 39.154978, -122.227603, 6, 11, 424, 493, 0.86
CA, Contra Costa County, 37.88838, -121.905808, 6, 13, 424, 493, 0.86
CA, Del Norte County, 41.730858, -123.948979, 6, 15, 424, 493, 0.86
CA, El Dorado County, 38.721847, -120.512859, 6, 17, 424, 493, 0.86
CA, Fresno County, 36.86376, -119.437459, 6, 19, 424, 493, 0.86
CA, Glenn County, 39.591607, -122.392228, 6, 21, 424, 493, 0.86
CA, Humboldt County, 40.641635, -123.926104, 6, 23, 424, 493, 0.86
CA, Imperial County, 33.050974, -115.365468, 6, 25, 424, 493, 0.86
CA, Inyo County, 36.443084, -117.517662, 6, 27, 424, 493, 0.86
CA, Kern County, 35.304076, -118.730207, 6, 29, 424, 493, 0.86
CA, Kings County, 36.024347, -119.78167, 6, 31, 424, 493, 0.86
CA, Lake County, 39.039429, -122.747627, 6, 33, 424, 493, 0.86
CA, Lassen County, 40.73428, -120.581455, 6, 35, 424, 493, 0.86
CA, Los Angeles County, 34.344417, -118.189475, 6, 37, 424, 493, 0.86
CA, Madera County, 37.207869, -119.751308, 6, 39, 424, 493, 0.86
CA, Marin County, 38.019216, -122.683493, 6, 41, 424, 493, 0.86
CA, Mariposa County, 37.529487, -120.032548, 6, 43, 424, 493, 0.86
CA, Mendocino County, 39.451963, -123.444134, 6, 45, 424, 493, 0.86
CA, Merced County, 37.2256, -120.726786, 6, 47, 424, 493, 0.86
CA, Modoc County, 41.58895, -120.724925, 6, 49, 424, 493, 0.86
CA, Mono County, 37.832051, -118.824645, 6, 51, 424, 493, 0.86
CA, Monterey County, 36.133405, -121.323109, 6, 53, 424, 493, 0.86
CA, Napa County, 38.498412, -122.306119, 6, 55, 424, 493, 0.86
CA, Nevada County, 39.268633, -120.971874, 6, 57, 424, 493, 0.86
CA, Orange County, 33.688007, -117.770825, 6, 59, 424, 493, 0.86
CA, Placer County, 39.119722, -120.583187, 6, 61, 424, 493, 0.86
CA, Plumas County, 39.995247, -120.685482, 6, 63, 424, 493, 0.86
CA, Riverside County, 33.730485, -115.993882, 6, 65, 424, 493, 0.86
CA, Sacramento County, 38.485489, -121.274656, 6, 67, 424, 493, 0.86
CA, San Benito County, 36.580724, -121.03128, 6, 69, 424, 493, 0.86
CA, San Bernardino County, 34.913594, -116.178683, 6, 71, 424, 493, 0.86
CA, San Diego County, 32.995842, -116.770168, 6, 73, 424, 493, 0.86
CA, San Francisco County, 37.778008, -122.431272, 6, 75, 424, 493, 0.86
CA, San Joaquin County, 37.96172, -121.277745, 6, 77, 424, 493, 0.86
CA, San Luis Obispo County, 35.390217, -120.467065, 6, 79, 424, 493, 0.86
CA, San Mateo County, 37.483638, -122.350832, 6, 81, 424, 493, 0.86
CA, Santa Barbara County, 34.734724, -120.001344, 6, 83, 424, 493, 0.86
CA, Santa Clara County, 37.247685, -121.688694, 6, 85, 424, 493, 0.86
CA, Santa Cruz County, 36.979583, -121.953915, 6, 87, 424, 493, 0.86
CA, Shasta County, 40.800595, -122.056985, 6, 89, 424, 493, 0.86
CA, Sierra County, 39.577334, -120.420361, 6, 91, 424, 493, 0.86
CA, Siskiyou County, 41.595985, -122.178526, 6, 93, 424, 493, 0.86
CA, Solano County, 38.275516, -121.878618, 6, 95, 424, 493, 0.86
CA, Sonoma County, 38.581242, -122.932161, 6, 97, 424, 493, 0.86
CA, Stanislaus County, 37.565486, -121.035063, 6, 99, 424, 493, 0.86
CA, Sutter County, 39.089972, -121.721099, 6, 101, 424, 493, 0.86
CA, Tehama County, 40.09314, -122.23402, 6, 103, 424, 493, 0.86
CA, Trinity County, 40.685772, -123.201652, 6, 105, 424, 493, 0.86
CA, Tulare County, 36.264811, -118.736075, 6, 107, 424, 493, 0.86
CA, Tuolumne County, 38.084634, -119.954784, 6, 109, 424, 493, 0.86
CA, Ventura County, 34.458416, -119.090374, 6, 111, 424, 493, 0.86
CA, Yolo County, 38.729077, -121.940019, 6, 113, 424, 493, 0.86
CA, Yuba County, 39.179294, -121.434161, 6, 115, 424, 493, 0.86
CO, Adams County, 39.869592, -104.33786, 8, 1, 261, 493, 0.53
CO, Alamosa County, 37.55326, -105.817561, 8, 3, 261, 493, 0.53
CO, Arapahoe County, 39.65134, -104.338243, 8, 5, 261, 493, 0.53
CO, Archuleta County, 37.196161, -107.048344, 8, 7, 261, 493, 0.53
CO, Baca County, 37.319377, -102.560425, 8, 9, 261, 493, 0.53
CO, Bent County, 37.954929, -103.071721, 8, 11, 261, 493, 0.53
CO, Boulder County, 40.087912, -105.326561, 8, 13, 261, 493, 0.53
CO, Broomfield County, 39.935791, -105.054403, 8, 14, 261, 493, 0.53
CO, Chaffee County, 38.739991, -106.187125, 8, 15, 261, 493, 0.53
CO, Cheyenne County, 38.826711, -102.603397, 8, 17, 261, 493, 0.53
CO, Clear Creek County, 39.691747, -105.649414, 8, 19, 261, 493, 0.53
CO, Conejos County, 37.197552, -106.191615, 8, 21, 261, 493, 0.53
CO, Costilla County, 37.26814, -105.434264, 8, 23, 261, 493, 0.53
